leadI_mV,leadII_mV,leadIII_mV
-6.0449,-2.8960,3.1489
-6.0790,-2.9540,3.1249
-6.0883,-3.0107,3.0776
-6.0475,-2.9951,3.0524
-5.9879,-2.9301,3.0578
-5.9692,-2.8502,3.1189
-6.0225,-2.8039,3.2186
-6.0972,-2.8226,3.2746
-6.1112,-2.8638,3.2474
-6.0904,-2.9027,3.1877
-6.0747,-2.9189,3.1558
-6.0518,-2.9048,3.1469
-6.0378,-2.9646,3.0733
-6.0295,-3.0162,3.0133
-5.9649,-2.9876,2.9773
-5.8647,-2.9166,2.9480
-5.8861,-2.8606,3.0255
-6.0693,-2.8864,3.1829
-6.2531,-2.9570,3.2960
-6.3390,-2.9719,3.3671
-6.2835,-2.9546,3.3289
-6.1172,-2.9080,3.2092
-6.0121,-2.8993,3.1128
-6.0119,-2.9324,3.0795
-5.9856,-2.9101,3.0755
-5.9170,-2.8115,3.1054
-5.8113,-2.6822,3.1291
-5.7581,-2.5887,3.1694
-5.7454,-2.5198,3.2256
-5.7363,-2.4906,3.2457
-5.7465,-2.4724,3.2741
