id,uptimeMs,bpm,rrMed,rrDp,picos,flags
3,94065,170,352,408,13,0x05
4,127479,0,0,0,1,0x80
5,159738,293,204,126,8,0x05
6,194811,0,0,0,0,0x80
7,226971,64,924,449,4,0x04
8,261235,0,0,0,0,0x80
9,293176,0,0,0,0,0x80
10,325050,0,0,0,0,0x80
11,357257,10,5820,8017,3,0x10
12,392069,0,0,0,2,0x80
13,423952,0,0,0,0,0x80
14,455390,0,0,0,0,0x80
15,487117,0,0,0,0,0x80
16,518860,0,0,0,0,0x80
17,550747,0,0,0,0,0x80
18,582911,97,617,603,5,0x04
1,32421,0,0,0,1,0x80
1,31593,0,0,0,1,0x80
2,63848,0,0,0,0,0x80
1,33940,0,0,0,1,0x80
2,66165,0,0,0,0,0x80
3,98414,0,0,0,0,0x80
4,131044,0,0,0,0,0x80
5,163405,0,0,0,0,0x80
6,195407,0,0,0,0,0x80
7,226995,0,0,0,0,0x80
8,258880,0,0,0,0,0x80
9,291105,0,0,0,0,0x80
10,323410,0,0,0,0,0x80
11,355412,0,0,0,0,0x80
12,386931,0,0,0,0,0x80
13,418585,0,0,0,0,0x80
14,450560,0,0,0,0,0x80
15,482618,0,0,0,0,0x80
1,31407,0,0,0,1,0x80
2,63813,0,0,0,0,0x80
3,96037,0,0,0,0,0x80
1,33864,0,0,0,1,0x80
1,31120,0,0,0,1,0x80
2,63005,0,0,0,0,0x80
3,95003,0,0,0,0,0x80
4,127410,0,0,0,0,0x80
5,159273,0,0,0,0,0x80
6,190745,0,0,0,0,0x80
7,222589,0,0,0,0,0x80
8,254518,0,0,0,0,0x80
9,286923,0,0,0,0,0x80
10,319317,0,0,0,0,0x80
11,351475,0,0,0,0,0x80
12,383138,0,0,0,0,0x80
13,414902,0,0,0,1,0x80
14,446851,0,0,0,0,0x80
15,479123,0,0,0,0,0x80
16,511425,0,0,0,0,0x80
17,543988,0,0,0,0,0x80
18,576244,0,0,0,0,0x80
19,608224,0,0,0,0,0x80
20,639637,0,0,0,0,0x80
21,671263,0,0,0,0,0x80
22,703200,0,0,0,0,0x80
23,735165,0,0,0,0,0x80
24,767303,0,0,0,0,0x80
25,799700,0,0,0,0,0x80
26,831605,0,0,0,0,0x80
27,863105,0,0,0,0,0x80
28,894876,0,0,0,0,0x80
29,926745,0,0,0,0,0x80
30,958728,0,0,0,0,0x80
31,991038,0,0,0,1,0x80
32,1023369,0,0,0,0,0x80
33,1055977,0,0,0,0,0x80
34,1087907,0,0,0,0,0x80
35,1119177,0,0,0,0,0x80
36,1150697,0,0,0,0,0x80
37,1182355,0,0,0,0,0x80
38,1214146,0,0,0,0,0x80
39,1246267,0,0,0,0,0x80
40,1278408,0,0,0,0,0x80
1,33995,0,0,0,1,0x80
2,66135,0,0,0,0,0x80
3,97740,0,0,0,0,0x80
4,129576,0,0,0,0,0x80
5,161759,0,0,0,0,0x80
1,34368,0,0,0,1,0x80
